Elapsed Time since Epoch[min],ECI: X[km],ECI: Y[km],ECI: Z[km],Julian Date[days],GMST[deg],Geocentric Latitude[deg],Geocentric Longitude[deg],Geocentric Height[km],Geodetic Latitude[deg],Geodetic Longitude[deg],Geodetic Height[km]
140,-52.35491890,6767.00956587,-512.62938078,2461163.74888721,310.75453995,-4.33199239,139.68873651,408.46365012,-4.35931366,139.68873651,408.58622622
141,8.50988259,6718.03712320,-965.60543995,2461163.74958166,311.00522455,-8.17928422,138.92219769,408.94551552,-8.23035573,138.92219769,409.38033294
142,69.33559276,6638.20254919,-1414.13295620,2461163.75027610,311.25590899,-12.02528657,138.14566209,409.37451206,-12.09916614,138.14566209,410.30687724
143,129.84290125,6527.88343234,-1856.14785266,2461163.75097055,311.50659342,-15.86966757,137.35391482,409.74972093,-15.96499804,137.35391482,411.35562299
144,189.75417876,6387.59808476,-2289.61779852,2461163.75166499,311.75727786,-19.71205978,136.54115655,410.07083448,-19.82709576,136.54115655,412.51370156
145,248.79477433,6218.00282154,-2712.55169181,2461163.75235943,312.00796230,-23.55204272,135.70074079,410.33813137,-23.68468474,135.70074079,413.76583156
146,306.69429084,6019.88857506,-3123.00888676,2461163.75305388,312.25864673,-27.38912019,134.82483605,410.55244282,-27.53695562,134.82483605,415.09458551
147,363.18783185,5794.17687353,-3519.10811745,2461163.75374832,312.50933117,-31.22269000,133.90397453,410.71511102,-31.38303982,133.90397453,416.48069758
148,418.01721334,5541.91521656,-3899.03607355,2461163.75444277,312.76001561,-35.05200187,132.92642964,410.82794033,-35.22197247,132.92642964,417.90340584
149,470.93213467,5264.27188424,-4261.05558841,2461163.75513721,313.01070004,-38.87609745,131.87733196,410.89314238,-39.05263651,131.87733196,419.34082180
150,521.69130319,4962.53021860,-4603.51340464,2461163.75583166,313.26138448,-42.69372237,130.73737811,410.91327623,-42.87367788,130.73737811,420.77031990
151,570.06350815,4638.08241793,-4924.84748713,2461163.75652610,313.51206892,-46.50319315,129.48088977,410.89118453,-46.68337483,129.48088977,422.16893919
152,615.82863958,4292.42288573,-5223.59385828,2461163.75722055,313.76275352,-50.30218965,128.07280419,410.82992726,-50.47943205,128.07280419,423.51378954
153,658.77864900,3927.14117598,-5498.39293505,2461163.75791499,314.01343796,-54.08741918,126.46384745,410.73271393,-54.25864628,126.46384745,424.78245501
154,698.71844881,3543.91457632,-5747.99535166,2461163.75860943,314.26412239,-57.85405043,124.58248789,410.60283576,-58.01634197,124.58248789,425.95338725
155,735.46674831,3144.50036944,-5971.26725569,2461163.75930388,314.51480683,-61.59471275,122.32093442,410.44359908,-61.74537422,122.32093442,427.00628216
156,768.85682441,2730.72781170,-6167.19506915,2461163.75999832,314.76549127,-65.29762603,119.50954664,410.25826095,-65.43426670,119.50954664,427.92243386
157,798.73722558,2304.48986623,-6334.88970867,2461163.76069277,315.01617570,-68.94287008,115.86748492,410.04996856,-69.06349985,115.86748492,428.68506017
158,824.97240818,1867.73472544,-6473.59026162,2461163.76138721,315.26686014,-72.49435842,110.90224681,409.82170305,-72.59752942,110.90224681,429.27959497
159,847.44330413,1422.45715612,-6582.66711647,2461163.76208166,315.51754458,-75.88109414,103.69765429,409.57622913,-75.96615287,103.69765429,429.69393732
160,866.04781958,970.68969773,-6661.62454715,2461163.76277610,315.76822901,-78.95039008,92.49247853,409.31605120,-79.01801308,92.49247853,429.91869091
161,880.70126392,514.49374301,-6710.10275169,2461163.76347055,316.01891345,-81.35691159,74.27398012,409.04337671,-81.41031770,74.27398012,429.94728772
162,891.33670883,55.95052796,-6727.87934541,2461163.76416499,316.26959788,-82.43849038,47.32223059,408.76008751,-82.48538053,47.32223059,429.77614901
163,897.90527680,-402.84794286,-6714.87030911,2461163.76485943,316.52028232,-81.66206694,19.31618302,408.46771954,-81.71364566,19.31618302,429.40474763
164,900.37635882,-859.80801078,-6671.13039162,2461163.76555388,316.77096693,-79.42903977,-0.45065996,408.16745124,-79.49387996,-0.45065996,428.83563388
165,898.73776045,-1312.84349247,-6596.85296594,2461163.76624832,317.02165136,-76.44057802,-12.62714672,407.86010080,-76.52254477,-12.62714672,428.07441184
166,892.99577573,-1759.88479987,-6492.36933693,2461163.76694277,317.27233580,-73.09232025,-20.36831595,407.54613225,-73.19242276,-20.36831595,427.12966657
167,883.17518806,-2198.88802497,-6358.14749801,2461163.76763721,317.52302023,-69.56004926,-25.64034254,407.22567016,-69.67781760,-25.64034254,426.01286455
168,869.31919717,-2627.84396303,-6194.79033407,2461163.76833166,317.77370467,-65.92437341,-29.46893094,406.89852266,-66.05847577,-29.46893094,424.73811398
169,851.48927126,-3044.78704597,-6003.03326693,2461163.76902610,318.02438911,-62.22564406,-32.40048561,406.56421216,-62.37417081,-32.40048561,423.32203846
170,829.76492335,-3447.80415585,-5783.74134073,2461163.76972055,318.27507354,-58.48584961,-34.74333271,406.22201332,-58.64646740,-34.74333271,421.78346982
171,804.24341084,-3835.04328591,-5537.90574471,2461163.77041499,318.52575798,-54.71786132,-36.68194408,405.87099719,-54.88791521,-36.68194408,420.14316322
172,775.03935770,-4204.72201439,-5266.63977245,2461163.77110943,318.77644242,-50.92967097,-38.33257125,405.51008081,-51.10626479,-38.33257125,418.42346615
173,742.28429856,-4555.13575368,-4971.17421868,2461163.77180388,319.02712685,-47.12648884,-39.77181718,405.13808117,-47.30655647,-39.77181718,416.64795729
