Julian Date [days],Satellite ECI X-Position [km],Satellite ECI Y-Position [km],Satellite ECI Z-Position [km],Ground Station ECI X-Position [km],Ground Station ECI Y-Position [km],Ground Station ECI Z-Position [km],SEZ-South Distance [km],SEZ-East Distance [km],SEZ-Zenith Distance [km],Slant Range [km],Azimuth [deg],Elevation [deg]
2460847.1318287039,3264.4624023438,-5490.2138671875,2404.5241699219,-3441.6687011719,2277.0673828125,4847.2338867188,-5965.7527676686,2777.5074252434,-8244.0843213767,10548.4444294027,24.9655260967,-51.4022554009
2460847.1319444445,3241.3540039062,-5472.3354492188,2475.1677246094,-3443.3281250000,2274.5571289062,4847.2338867188,-5987.5743857664,2779.5201622607,-8170.0207038570,10503.6192647559,24.9014223471,-51.0622372133
2460847.1320601851,3217.8388671875,-5453.7705078125,2545.5000000000,-3444.9858398438,2272.0456542969,4847.2338867188,-6008.6472538466,2781.1400222176,-8095.7315580890,10458.4631330314,24.8373545593,-50.7220808580
2460847.1321759261,3193.9199218750,-5434.5209960938,2615.5119628906,-3446.6418457031,2269.5327148438,4847.2338867188,-6028.9684307227,2782.3646685928,-8021.2262270291,10412.9766960684,24.7732904536,-50.3817877999
2460847.1322916667,3169.6003417969,-5414.5898437500,2685.1948242188,-3448.2958984375,2267.0187988281,4847.2338867188,-6048.5370070533,2783.1936000868,-7946.5154521569,10367.1632751020,24.7092050278,-50.0413536155
2460847.1324074073,3144.8830566406,-5393.9790039062,2754.5397949219,-3449.9479980469,2264.5036621094,4847.2338867188,-6067.3496772393,2783.6261255310,-7871.6079485227,10321.0231182708,24.6450805988,-49.7007766447
2460847.1325231483,3119.7709960938,-5372.6914062500,2823.5380859375,-3451.5983886719,2261.9873046875,4847.2338867188,-6085.4051034743,2783.6610398154,-7796.5140952687,10274.5586813109,24.5808885069,-49.3600547458
2460847.1326388889,3094.2678222656,-5350.7299804688,2892.1813964844,-3453.2470703125,2259.4699707031,4847.2338867188,-6102.7022829822,2783.2970678972,-7721.2439153888,10227.7722561567,24.5165985345,-49.0191837076
2460847.1327546295,3068.3762207031,-5328.0971679688,2960.4604492188,-3454.8937988281,2256.9511718750,4847.2338867188,-6119.2380165615,2782.5326103023,-7645.8068533811,10180.6642253802,24.4521858570,-48.6781665319
2460847.1328703705,3042.0996093750,-5304.7958984375,3028.3671875000,-3456.5385742188,2254.4311523438,4847.2338867188,-6135.0112258703,2781.3678547614,-7570.2125486011,10133.2367936436,24.3876320424,-48.3369959104
2460847.1329861111,3015.4411621094,-5280.8286132812,3095.8928222656,-3458.1816406250,2251.9099121094,4847.2338867188,-6150.0201873403,2779.8007495968,-7494.4710539656,10085.4914055231,24.3229036085,-47.9956727891
2460847.1331018517,2988.4045410156,-5256.1992187500,3163.0288085938,-3459.8227539062,2249.3876953125,4847.2338867188,-6164.2639133027,2777.8323299438,-7418.5927249800,10037.4309494637,24.2579884039,-47.6541914212
2460847.1332175927,2960.9931640625,-5230.9101562500,3229.7670898438,-3461.4621582031,2246.8640136719,4847.2338867188,-6177.7406192552,2775.4605138004,-7342.5866038252,9989.0559242170,24.1928529187,-47.3125498493
2460847.1333333333,2933.2099609375,-5204.9648437500,3296.0988769531,-3463.0996093750,2244.3393554688,4847.2338867188,-6190.4491934148,2772.6845211328,-7266.4632607831,9940.3686546471,24.1274713299,-46.9707474406
2460847.1334490739,2905.0590820312,-5178.3662109375,3362.0158691406,-3464.7353515625,2241.8134765625,4847.2338867188,-6202.3885075801,2769.5039367943,-7190.2326127802,9891.3710010680,24.0618206122,-46.6287808418
2460847.1335648149,2876.5434570312,-5151.1181640625,3427.5097656250,-3466.3691406250,2239.2863769531,4847.2338867188,-6213.5571197674,2765.9186250841,-7113.9043113884,9842.0644416093,23.9958808548,-46.2866466931
2460847.1336805555,2847.6669921875,-5123.2241210938,3492.5727539062,-3468.0012207031,2236.7580566406,4847.2338867188,-6223.9549514484,2761.9286731119,-7037.4885217342,9792.4516810938,23.9296290456,-45.9443383924
2460847.1337962961,2818.4333496094,-5094.6870117188,3557.1960449219,-3469.6313476562,2234.2285156250,4847.2338867188,-6233.5800618590,2757.5318049326,-6960.9951130597,9742.5332951375,23.8630302180,-45.6018596828
2460847.1339120371,2788.8461914062,-5065.5107421875,3621.3718261719,-3471.2597656250,2231.6977539062,4847.2338867188,-6242.4325557919,2752.7286322296,-6884.4344055195,9692.3122225922,23.7960644511,-45.2592037079
2460847.1340277777,2758.9089355469,-5035.6987304688,3685.0922851562,-3472.8862304688,2229.1660156250,4847.2338867188,-6250.5110082002,2747.5192624635,-6807.8154255374,9641.7892960500,23.7287129328,-44.9163653252
2460847.1341435187,2728.6257324219,-5005.2553710938,3748.3488769531,-3474.5107421875,2226.6328125000,4847.2338867188,-6257.8155791395,2741.9027541082,-6731.1494992079,9590.9676319022,23.6609431837,-44.5733450255
2460847.1342592593,2698.0002441406,-4974.1840820312,3811.1340332031,-3476.1335449219,2224.0986328125,4847.2338867188,-6264.3452002110,2735.8796574921,-6654.4456348242,9539.8482689462,23.5927380751,-44.2301361260
2460847.1343749999,2667.0363769531,-4942.4887695312,3873.4396972656,-3477.7543945312,2221.5632324219,4847.2338867188,-6270.0998366990,2729.4488910434,-6577.7143542985,9488.4334501399,23.5240641695,-43.8867374634
2460847.1344907410,2635.7377929688,-4910.1733398438,3935.2580566406,-3479.3735351562,2219.0266113281,4847.2338867188,-6275.0789565932,2722.6116764734,-6500.9654392640,9436.7251679199,23.4549070778,-43.5431431191
2460847.1346064815,2604.1086425781,-4877.2421875000,3996.5812988281,-3480.9907226562,2216.4887695312,4847.2338867188,-6279.2824990096,2715.3664757427,-6424.2090697680,9384.7251409961,23.3852292883,-43.1993520568
2460847.1347222221,2572.1528320312,-4843.6992187500,4057.4018554688,-3482.6059570312,2213.9499511719,4847.2338867188,-6282.7102857540,2707.7149561154,-6347.4550069177,9332.4355815154,23.3150179441,-42.8553568588
2460847.1348379632,2539.8742675781,-4809.5483398438,4117.7119140625,-3484.2194824219,2211.4096679688,4847.2338867188,-6285.3620363180,2699.6552809275,-6270.7132450318,9279.8577125322,23.2442331859,-42.5111576756
2460847.1349537037,2507.2773437500,-4774.7944335938,4177.5043945312,-3485.8312988281,2208.8684082031,4847.2338867188,-6287.2389306326,2691.1893747729,-6193.9940542643,9226.9949585991,23.1728588312,-42.1667444658
2460847.1350694443,2474.3657226562,-4739.4414062500,4236.7709960938,-3487.4409179688,2206.3259277344,4847.2338867188,-6288.3399410342,2682.3163726397,-6117.3074365628,9173.8481898472,23.1008640767,-41.8221194176
2460847.1351851854,2441.1437988281,-4703.4941406250,4295.5048828125,-3489.0490722656,2203.7822265625,4847.2338867188,-6288.6660980225,2673.0368148526,-6040.6632159768,9120.4199023307,23.0282216579,-41.4772740399
2460847.1353009259,2407.6159667969,-4666.9570312500,4353.6982421875,-3490.6550292969,2201.2373046875,4847.2338867188,-6288.2175015697,2663.3514450420,-5964.0717085841,9066.7122824091,22.9549084441,-41.1322057519
2460847.1354166665,2373.7858886719,-4629.8344726562,4411.3442382812,-3492.2592773438,2198.6914062500,4847.2338867188,-6286.9946624253,2653.2606888994,-5887.5422989003,9012.7270284838,22.8808969678,-40.7869068720
2460847.1355324076,2339.6582031250,-4592.1313476562,4468.4355468750,-3493.8618164062,2196.1442871094,4847.2338867188,-6284.9987208385,2642.7642095945,-5811.0855432570,8958.4667649942,22.8061512351,-40.4413744768
2460847.1356481481,2305.2370605469,-4553.8520507812,4524.9648437500,-3495.4621582031,2193.5959472656,4847.2338867188,-6282.2296516442,2631.8637410206,-5734.7110124369,8903.9332063680,22.7306544815,-40.0956024050
2460847.1357638887,2270.5268554688,-4515.0019531250,4580.9248046875,-3497.0607910156,2191.0463867188,4847.2338867188,-6278.6883924267,2620.5585717834,-5658.4290913854,8849.1284847480,22.6543672209,-39.7495890757
2460847.1358796298,2235.5319824219,-4475.5854492188,4636.3085937500,-3498.6577148438,2188.4956054688,4847.2338867188,-6274.3755252810,2608.8502880123,-5582.2492249524,8794.0544953388,22.5772682739,-39.4033263141
2460847.1359953703,2200.2565917969,-4435.6079101562,4691.1093750000,-3500.2526855469,2185.9438476562,4847.2338867188,-6269.2929100143,2596.7393851098,-5506.1819385029,8738.7143542761,22.4993231694,-39.0568085728
2460847.1361111109,2164.7053222656,-4395.0737304688,4745.3203125000,-3501.8457031250,2183.3908691406,4847.2338867188,-6263.4407262998,2584.2266600749,-5430.2363365730,8683.1091110011,22.4205044873,-38.7100294292
2460847.1362268520,2128.8828125000,-4353.9887695312,4798.9345703125,-3503.4370117188,2180.8366699219,4847.2338867188,-6256.8209305699,2571.3120499840,-5354.4230262404,8627.2417237228,22.3407715617,-38.3629850326
2460847.1363425925,2092.7932128906,-4312.3579101562,4851.9453125000,-3505.0263671875,2178.2812500000,4847.2338867188,-6249.4341859012,2557.9982329981,-5278.7515208381,8571.1142929425,22.2601085548,-38.0156669409
2460847.1364583331,2056.4411621094,-4270.1860351562,4904.3457031250,-3506.6137695312,2175.7248535156,4847.2338867188,-6241.2819284899,2544.2850314343,-5203.2319874987,8514.7289767676,22.1784739433,-37.6680720112
2460847.1365740742,2019.8312988281,-4227.4790039062,4956.1298828125,-3508.1994628906,2173.1672363281,4847.2338867188,-6232.3663001896,2530.1733754632,-5127.8739111618,8458.0883099206,22.0958317198,-37.3201894386
2460847.1366898147,1982.9682617188,-4184.2416992188,5007.2905273438,-3509.7832031250,2170.6083984375,4847.2338867188,-6222.6876804799,2515.6642439025,-5052.6872048037,8401.1937572248,22.0121509824,-36.9720176624
2460847.1368055558,1945.8565673828,-4140.4794921875,5057.8217773438,-3511.3652343750,2168.0483398438,4847.2338867188,-6212.2483948084,2500.7590464407,-4977.6815086231,8344.0481259663,21.9273970356,-36.6235459387
2460847.1369212964,1908.5008544922,-4096.1987304688,5107.7167968750,-3512.9450683594,2165.4873046875,4847.2338867188,-6201.0500346268,2485.4597927912,-4902.8671210463,8286.6542054175,21.8415413316,-36.2747694076
2460847.1370370369,1870.9058837891,-4051.4042968750,5156.9697265625,-3514.5231933594,2162.9250488281,4847.2338867188,-6189.0946527665,2469.7664095539,-4828.2534517302,8229.0139222636,21.7545362438,-35.9256801234
2460847.1371527780,1833.0764160156,-4006.1018066406,5205.5747070312,-3516.0996093750,2160.3615722656,4847.2338867188,-6176.3841290004,2453.6812747628,-4753.8497639824,8171.1296823393,21.6663531082,-35.5762665064
2460847.1372685186,1795.0172119141,-3960.2971191406,5253.5249023438,-3517.6740722656,2157.7971191406,4847.2338867188,-6162.9206040129,2437.2048645578,-4679.6668206956,8113.0043433928,21.5769461059,-35.2265277623
2460847.1373842591,1756.7329101562,-3913.9960937500,5300.8144531250,-3519.2465820312,2155.2314453125,4847.2338867188,-6148.7054352139,2420.3394392236,-4605.7134434340,8054.6395234746,21.4862850054,-34.8764526878
2460847.1375000002,1718.2283935547,-3867.2043457031,5347.4379882812,-3520.8173828125,2152.6645507812,4847.2338867188,-6133.7418798604,2403.0860033315,-4531.9994209226,7996.0384278344,21.3943222149,-34.5260306135
2460847.1376157408,1679.5084228516,-3819.9277343750,5393.3891601562,-3522.3859863281,2150.0966796875,4847.2338867188,-6118.0311103645,2385.4461196903,-4458.5340577505,7937.2025173517,21.3010199402,-34.1752554243
2460847.1377314813,1640.5781250000,-3772.1723632812,5438.6621093750,-3523.9531250000,2147.5273437500,4847.2338867188,-6101.5762551295,2367.4212549054,-4385.3276731470,7878.1352486618,21.2063320338,-33.8241201442
2460847.1378472224,1601.4420166016,-3723.9440917969,5483.2519531250,-3525.5180664062,2144.9572753906,4847.2338867188,-6084.3797949943,2349.0139153346,-4312.3887597776,7818.8388319255,21.1102214861,-33.4726081208
2460847.1379629630,1562.1052246094,-3675.2492675781,5527.1518554688,-3527.0812988281,2142.3857421875,4847.2338867188,-6066.4438464300,2330.2247135494,-4239.7280600589,7759.3158320032,21.0126354851,-33.1207208013
2460847.1380787035,1522.5727539062,-3626.0935058594,5570.3574218750,-3528.6425781250,2139.8132324219,4847.2338867188,-6047.7717076361,2311.0563637413,-4167.3541183980,7699.5691108140,20.9135331490,-32.7684390589
2460847.1381944446,1482.8493652344,-3576.4836425781,5612.8627929688,-3530.2019042969,2137.2395019531,4847.2338867188,-6028.3656568910,2291.5105134453,-4095.2765351041,7639.6009598268,20.8128664832,-32.4157559162
2460847.1383101852,1442.9400634766,-3526.4252929688,5654.6630859375,-3531.7595214844,2134.6645507812,4847.2338867188,-6008.2289330192,2271.5885157077,-4023.5044438440,7579.4140476621,20.7105802864,-32.0626585795
2460847.1384259257,1402.8500976562,-3475.9248046875,5695.7519531250,-3533.3151855469,2132.0886230469,4847.2338867188,-5987.3635562423,2251.2931516602,-3952.0478661685,7519.0109419935,20.6066333256,-31.7091427940
2460847.1385416668,1362.5842285156,-3424.9890136719,5736.1254882812,-3534.8691406250,2129.5114746094,4847.2338867188,-5965.7736896814,2230.6256315991,-3880.9154384469,7458.3946707866,20.5009626669,-31.3551899271
2460847.1386574074,1322.1475830078,-3373.6237792969,5775.7778320312,-3536.4208984375,2126.9333496094,4847.2338867188,-5943.4616725890,2209.5887197919,-3810.1168125521,7397.5677820117,20.3935222301,-31.0007928350
2460847.1387731479,1281.5452880859,-3321.8359375000,5814.7045898438,-3537.9709472656,2124.3540039062,4847.2338867188,-5920.4312152571,2188.1843439526,-3739.6608813831,7336.5332416242,20.2842526023,-30.6459357403
2460847.1388888890,1240.7824707031,-3269.6318359375,5852.9003906250,-3539.5192871094,2121.7734375000,4847.2338867188,-5896.6853924807,2166.4144550039,-3669.5572793634,7275.2938659049,20.1730944362,-30.2906104315
2460847.1390046296,1199.8640136719,-3217.0178222656,5890.3608398438,-3541.0654296875,2119.1918945312,4847.2338867188,-5872.2274707398,2144.2818876025,-3599.8145240765,7213.8522919009,20.0599931471,-29.9347995095
2460847.1391203701,1158.7954101562,-3164.0009765625,5927.0810546875,-3542.6098632812,2116.6091308594,4847.2338867188,-5847.0608282447,2121.7886394278,-3530.4418670623,7152.2113458919,19.9448843703,-29.5784914903
